SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,region
48240,Sacheon-si,사천시,1049036.241,1672872.128,경상남도/사천시
48250,Gimhae-si,김해시,1122349.114,1698239.323,경상남도/김해시
48270,Miryang-si,밀양시,1116963.372,1723276.468,경상남도/밀양시
48310,Geoje-si,거제시,1102651.375,1653455.459,경상남도/거제시
48330,Yangsan-si,양산시,1139937.165,1712887.75,경상남도/양산시
48720,Uiryeong-gun,의령군,1070568.33,1711025.727,경상남도/의령군
48730,Haman-gun,함안군,1084643.48,1699897.19,경상남도/함안군
48740,Changnyeong-gun,창녕군,1090055.252,1724044.247,경상남도/창녕군
48820,Goseong-gun,고성군,1072135.799,1669321.761,경상남도/고성군
48840,Namhae-gun,남해군,1040343.729,1647166.186,경상남도/남해군
48850,Hadong-gun,하동군,1025420.798,1682601.306,경상남도/하동군
48860,Sancheong-gun,산청군,1034913.56,1708173.118,경상남도/산청군
48870,Hamyang-gun,함양군,1020124.721,1728424.041,경상남도/함양군
48880,Geochang-gun,거창군,1036549.535,1748545.51,경상남도/거창군
48890,Hapcheon-gun,합천군,1058128.709,1731360.682,경상남도/합천군
50110,Jeju-si,제주시,909769.7141,1494917.479,제주특별자치도/제주시
50130,Seogwipo-si,서귀포시,914469.0842,1481877.24,제주특별자치도/서귀포시
